CITY	STATE	MEDIAN AGE	MALES	FEMALES	TOTAL POPULATION	VETERANS	FOREIGN BORN	AVE HH SIZE	STATE ABBR	AMERICAN	WHITE	ASIAN	HISPANIC	BLACK
Texas	 Abilene	 31.299999	 65212	 60664	 125876	 9367	 8129	 2.640000	 TX	 95487	 2929	 1813	 33222	 14449	
Ohio	 Akron	 38.099998	 96886	 100667	 197553	 12878	 10024	 2.240000	 OH	 129192	 9033	 1845	 3684	 66551	
Florida	 Alafaya	 33.500000	 39504	 45760	 85264	 4176	 15842	 2.940000	 FL	 63666	 10336	 0	 34897	 6577	
California	 Alameda	 41.400002	 37747	 40867	 78614	 4504	 18841	 2.520000	 CA	 44232	 27984	 1329	 8265	 7364	
Georgia	 Albany	 33.299999	 31695	 39414	 71109	 5409	 861	 2.380000	 GA	 17160	 650	 445	 1783	 53440	
New York	 Albany	 32.799999	 47627	 50825	 98452	 3643	 11948	 2.080000	 NY	 58368	 8090	 1611	 9368	 31303	
New Mexico	 Albuquerque	 36.000000	 273323	 285808	 559131	 37443	 58200	 2.490000	 NM	 411847	 25140	 32243	 271854	 26774	
Virginia	 Alexandria	 36.599998	 74989	 78522	 153511	 10635	 44030	 2.200000	 VA	 106215	 13315	 1133	 25573	 37168	
California	 Alhambra	 41.000000	 42184	 43388	 85572	 1673	 44441	 2.890000	 CA	 20811	 44067	 687	 31386	 1905	
Pennsylvania	 Allen	 33.500000	 60626	 59581	 120207	 5691	 19652	 2.670000	 PA	 74187	 2670	 1076	 59176	 22304	
Texas	 Allen	 37.200001	 51324	 46814	 98138	 3505	 19649	 3.040000	 TX	 69840	 15790	 227	 10615	 13140	
Texas	 Amarillo	 33.799999	 99391	 100260	 199651	 11008	 21124	 2.640000	 TX	 174214	 8563	 4260	 65392	 14050	
Iowa	 Ames	 23.000000	 33814	 31238	 65052	 2265	 8606	 2.160000	 IA	 56157	 8979	 0	 2024	 1103	
California	 Anaheim	 33.599998	 179603	 171135	 350738	 9796	 137133	 3.450000	 CA	 259820	 53270	 2489	 201593	 9775	
Alaska	 Anchorage	 32.200001	 152945	 145750	 298695	 27492	 33258	 2.770000	 AK	 212696	 36825	 36339	 27261	 23107	
Michigan	 Ann Arbor	 28.100000	 58789	 58281	 117070	 3614	 20717	 2.170000	 MI	 90173	 18797	 1935	 5888	 9577	
California	 Antioch	 34.000000	 54733	 55809	 110542	 5681	 24942	 3.310000	 CA	 51151	 14333	 3462	 35563	 23227	
California	 Apple Valley	 34.299999	 32873	 39312	 72185	 5714	 5801	 3.030000	 CA	 60767	 2281	 1446	 25928	 9124	
Wisconsin	 Appleton	 35.599998	 37217	 38038	 75255	 4219	 4454	 2.490000	 WI	 64674	 5561	 835	 5139	 3407	
California	 Arden-Arcade	 41.500000	 47596	 48680	 96276	 6511	 13458	 2.180000	 CA	 69369	 7355	 2587	 15273	 13647	
Texas	 Arlington	 32.599998	 191060	 197062	 388122	 17050	 79271	 2.890000	 TX	 251155	 31804	 2918	 112078	 92955	
Virginia	 Arlington	 34.400002	 113981	 115183	 229164	 12719	 55205	 2.190000	 VA	 171673	 28595	 845	 35911	 22372	
Illinois	 Arlington Heights	 45.900002	 37627	 39369	 76996	 3027	 14630	 2.380000	 IL	 66285	 9975	 0	 2742	 1222	
Colorado	 Arvada	 41.000000	 54870	 60165	 115035	 8930	 4921	 2.490000	 CO	 107639	 2922	 2370	 16419	 2985	
North Carolina	 Asheville	 37.900002	 42100	 46407	 88507	 4973	 6630	 2.180000	 NC	 77979	 1939	 496	 4146	 9078	
Texas	 Atascocita	 32.799999	 37424	 40816	 78240	 4416	 8657	 3.030000	 TX	 50630	 2441	 1024	 20441	 21491	
Georgia	 Athens-Clarke County unified government	 26.500000	 57415	 65148	 122563	 3953	 12868	 2.440000	 GA	 79931	 6635	 593	 13159	 34583	
Georgia	 Atlanta	 33.799999	 223960	 239915	 463875	 18572	 32016	 2.150000	 GA	 196316	 24268	 4606	 18653	 245367	
Washington	 Auburn	 37.099998	 36837	 39743	 76580	 5401	 14842	 2.730000	 WA	 58293	 12341	 3042	 10836	 4032	
Georgia	 Augusta-Richmond County consolidated government	 33.700001	 94662	 101917	 196579	 19085	 7915	 2.670000	 GA	 77940	 4429	 1667	 9068	 112271	
Colorado	 Aurora	 34.200001	 177899	 180971	 358870	 25158	 65816	 2.820000	 CO	 239803	 24673	 8277	 109396	 61894	
Illinois	 Aurora	 31.700001	 101964	 101751	 203715	 4988	 50980	 3.300000	 IL	 115903	 17190	 1179	 86653	 23736	
Texas	 Austin	 32.700001	 475718	 456122	 931840	 37414	 181686	 2.500000	 TX	 708171	 78916	 10890	 327680	 81861	
Arizona	 Avondale	 29.100000	 38712	 41971	 80683	 4815	 8355	 3.180000	 AZ	 62176	 2828	 613	 34716	 11592	
California	 Bakersfield	 30.600000	 182154	 191473	 373627	 12284	 71575	 3.230000	 CA	 272853	 31929	 7357	 180241	 34240	
California	 Baldwin Park	 35.799999	 38747	 38309	 77056	 780	 34322	 4.130000	 CA	 36890	 15505	 316	 56282	 1560	
Maryland	 Baltimore	 34.700001	 294027	 327822	 621849	 29540	 49857	 2.510000	 MD	 207274	 20161	 7730	 29953	 396270	
Louisiana	 Baton Rouge	 31.200001	 111492	 117104	 228596	 10633	 12268	 2.520000	 LA	 96730	 7442	 1119	 7428	 122634	
Texas	 Bay	 32.900002	 37977	 37508	 75485	 3478	 13192	 2.590000	 TX	 48797	 2819	 2167	 31672	 16782	
Puerto Rico	 Bayamón	 39.400002	 80128	 90131	 170259	 0	 0	 0.000000	 PR	 0	 0	 0	 169155	 0	
New Jersey	 Bayonne	 39.700001	 32705	 33598	 66303	 2225	 21899	 2.620000	 NJ	 41431	 7171	 0	 19525	 7581	
Texas	 Beaumont	 31.600000	 57326	 60784	 118110	 7584	 10516	 2.470000	 TX	 53597	 4079	 908	 18815	 58008	
Oregon	 Beaverton	 35.599998	 47325	 49252	 96577	 4645	 18933	 2.460000	 OR	 80975	 10538	 905	 15452	 3100	
Washington	 Bellevue	 37.400002	 70763	 69051	 139814	 5382	 54654	 2.430000	 WA	 82378	 52223	 1949	 12215	 4151	
California	 Bellflower	 33.400002	 38936	 39498	 78434	 2154	 24607	 3.580000	 CA	 23336	 10764	 783	 42472	 12839	
Washington	 Bellingham	 30.700001	 41286	 43857	 85143	 4703	 8713	 2.440000	 WA	 74183	 8010	 2056	 6966	 2325	
Oregon	 Bend	 37.299999	 42294	 44723	 87017	 6199	 3032	 2.390000	 OR	 83689	 2726	 1818	 8173	 465	
California	 Berkeley	 32.500000	 60142	 60829	 120971	 3736	 25000	 2.350000	 CA	 82949	 27089	 1868	 15429	 11255	
Pennsylvania	 Bethlehem	 35.099998	 35861	 38506	 74367	 4704	 6295	 2.460000	 PA	 64526	 3759	 0	 23409	 7821	
Montana	 Billings	 36.299999	 52705	 57565	 110270	 9121	 3206	 2.400000	 MT	 102522	 1873	 6066	 7526	 2200	
Alabama	 Birmingham	 35.599998	 102122	 112789	 214911	 13212	 8258	 2.210000	 AL	 51728	 1500	 1319	 8940	 157985	
North Dakota	 Bismarck	 38.000000	 34675	 35565	 70240	 4145	 2064	 2.110000	 ND	 64719	 930	 4040	 1667	 1700	
California	 Bk	 37.000000	 50405	 54909	 105314	 4048	 32435	 2.520000	 CA	 79582	 14636	 1639	 22089	 4729	
Illinois	 Bloomington	 35.099998	 37972	 40323	 78295	 3888	 7287	 2.340000	 IL	 60652	 6549	 182	 3461	 11240	
Indiana	 Bloomington	 23.500000	 40588	 43227	 83815	 2368	 10033	 2.330000	 IN	 71200	 9801	 912	 3643	 5133	
Minnesota	 Bloomington	 40.900002	 43318	 43118	 86436	 6176	 10728	 2.300000	 MN	 71874	 4689	 1745	 8021	 5828	
Florida	 Boca Raton	 47.299999	 44760	 48466	 93226	 4367	 21117	 2.220000	 FL	 80781	 2494	 556	 14735	 4527	
Idaho	 Boise	 34.900002	 110099	 108181	 218280	 16004	 13409	 2.610000	 ID	 204913	 9806	 4046	 19480	 4413	
Illinois	 Bolingbrook	 33.700001	 36295	 35801	 72096	 2951	 15212	 3.420000	 IL	 40458	 9788	 323	 16904	 12671	
Louisiana	 Bossier City	 32.700001	 33428	 34669	 68097	 8108	 2980	 2.400000	 LA	 47454	 2175	 630	 5589	 19520	
Massachusetts	 Boston	 31.799999	 322149	 347320	 669469	 18350	 190123	 2.380000	 MA	 378543	 69976	 5580	 130656	 189347	
Colorado	 Boulder	 29.000000	 56342	 51000	 107342	 4061	 12993	 2.240000	 CO	 98243	 8772	 767	 9795	 1615	
Florida	 Boynton Beach	 45.799999	 33701	 40271	 73972	 4727	 15431	 2.450000	 FL	 49704	 2114	 0	 12553	 20616	
Florida	 Brandon	 36.099998	 55679	 58289	 113968	 9417	 16390	 2.640000	 FL	 80811	 9440	 1921	 26224	 23475	
New York	 Brentwood	 34.200001	 31395	 32397	 63792	 1492	 27058	 4.980000	 NY	 46347	 1647	 4242	 40111	 8619	
Connecticut	 Bridgeport	 34.099998	 71509	 76110	 147619	 4646	 44475	 2.860000	 CT	 68007	 8546	 2527	 59036	 53770	
Massachusetts	 Brockton	 35.200001	 46273	 49041	 95314	 3036	 27313	 2.880000	 MA	 40110	 2528	 881	 10890	 43646	
Oklahoma	 Broken Arrow	 36.799999	 52136	 55459	 107595	 6797	 6845	 2.770000	 OK	 94366	 4206	 11963	 9191	 7198	
Minnesota	 Brooklyn Park	 35.099998	 37845	 41305	 79150	 3506	 17490	 2.850000	 MN	 41760	 14443	 1173	 4138	 22550	
Colorado	 Broomfield	 36.799999	 31755	 33310	 65065	 3966	 5316	 2.530000	 CO	 58341	 5193	 601	 8065	 1154	
Texas	 Brownsville	 30.600000	 87689	 96199	 183888	 4211	 53301	 3.480000	 TX	 174670	 1589	 1165	 170041	 1239	
Texas	 Bryan	 29.400000	 41761	 40345	 82106	 3602	 12014	 2.550000	 TX	 59742	 2688	 3557	 29647	 11914	
California	 Buena Park	 35.700001	 41593	 41671	 83264	 3116	 28430	 3.550000	 CA	 48412	 24624	 361	 32915	 901	
New York	 Buffalo	 33.099998	 124537	 133529	 258066	 11231	 24630	 2.270000	 NY	 130078	 14518	 4406	 29656	 101254	
Puerto Rico	 Caguas	 40.400002	 34743	 42265	 77008	 0	 0	 0.000000	 PR	 0	 0	 624	 76349	 0	
California	 Camarillo	 40.799999	 31941	 35682	 67623	 4384	 9735	 2.770000	 CA	 59702	 7198	 742	 16186	 1219	
Massachusetts	 Cambridge	 31.500000	 55421	 54981	 110402	 2495	 27757	 2.060000	 MA	 80551	 18441	 906	 9433	 11880	
New Jersey	 Camden	 27.900000	 36437	 39694	 76131	 1425	 11317	 3.000000	 NJ	 19907	 1686	 0	 41473	 35237	
Ohio	 Canton	 33.400002	 34476	 37419	 71895	 3404	 2204	 2.320000	 OH	 53571	 0	 358	 3597	 21353	
Florida	 Cape Coral	 45.000000	 85626	 89604	 175230	 14446	 24185	 2.850000	 FL	 163396	 3314	 1040	 33016	 7311	
California	 Carlsbad	 42.099998	 55119	 58347	 113466	 6031	 17689	 2.680000	 CA	 98705	 11948	 1513	 12969	 876	
Indiana	 Carmel	 39.900002	 42928	 46101	 89029	 2723	 9645	 2.710000	 IN	 77178	 11223	 0	 3111	 2171	
California	 Carmichael	 41.000000	 29281	 33934	 63215	 4225	 7378	 2.390000	 CA	 55862	 4205	 2603	 9291	 4675	
Puerto Rico	 Carolina	 42.000000	 64758	 77308	 142066	 0	 0	 0.000000	 PR	 0	 0	 12143	 139967	 0	
Texas	 Carrollton	 36.900002	 66928	 66218	 133146	 5720	 35327	 2.780000	 TX	 102948	 18456	 812	 46850	 10923	
California	 Carson	 40.400002	 43790	 49506	 93296	 4273	 33860	 3.700000	 CA	 28801	 31706	 2119	 32938	 19947	
North Carolina	 Cary	 39.900002	 78932	 81582	 160514	 7426	 30008	 2.610000	 NC	 119814	 25124	 1752	 10327	 15496	
Arizona	 Casas Adobes	 44.799999	 30890	 34375	 65265	 6601	 7024	 2.240000	 AZ	 58956	 3009	 2047	 13609	 1854	
Texas	 Cedar Park	 34.400002	 31248	 33589	 64837	 3090	 5207	 3.050000	 TX	 56991	 5654	 219	 11872	 3667	
Iowa	 Cedar Rapids	 36.200001	 63109	 67296	 130405	 7823	 5404	 2.320000	 IA	 116851	 5406	 1243	 5328	 11921	
Colorado	 Centennial	 42.400002	 53222	 56504	 109726	 7226	 9501	 2.660000	 CO	 98174	 7041	 1219	 8086	 4005	
Virginia	 Centreville	 36.000000	 34749	 37033	 71782	 3779	 27797	 2.970000	 VA	 39129	 25058	 355	 9613	 6724	
Illinois	 Champaign	 28.700001	 43326	 42760	 86086	 3734	 12261	 2.250000	 IL	 58099	 11746	 0	 4015	 16163	
Arizona	 Chandler	 35.599998	 128885	 131948	 260833	 15870	 38721	 2.780000	 AZ	 207993	 33079	 6601	 57159	 16163	
South Carolina	 Charleston	 35.000000	 63956	 71568	 135524	 9368	 5767	 2.400000	 SC	 104016	 2773	 633	 3929	 29998	
North Carolina	 Charlotte	 34.299999	 396646	 430475	 827121	 36046	 128897	 2.520000	 NC	 446795	 55399	 8746	 113731	 301568	
Tennessee	 Chattanooga	 36.599998	 83640	 92957	 176597	 10001	 10599	 2.400000	 TN	 114140	 4602	 1092	 10918	 59918	
New York	 Cheektowaga	 40.700001	 37476	 38599	 76075	 5408	 3532	 2.300000	 NY	 63541	 1584	 0	 1994	 10562	
Virginia	 Chesapeake	 36.700001	 114964	 120465	 235429	 29772	 13966	 2.730000	 VA	 150414	 11354	 2087	 12959	 73850	
Illinois	 Chicago	 34.200001	 1320015	 1400541	 2720556	 72042	 573463	 2.530000	 IL	 1374535	 195084	 23323	 785725	 873316	
California	 Chico	 29.900000	 46168	 44168	 90336	 4519	 8425	 2.500000	 CA	 80467	 6101	 2766	 15578	 3164	
California	 Chino	 36.500000	 50989	 34610	 85599	 4186	 18666	 3.620000	 CA	 44543	 12948	 4790	 45495	 6815	
California	 Chino Hills	 41.900002	 39639	 38674	 78313	 3358	 24764	 3.050000	 CA	 40030	 28132	 1773	 22539	 3506	
California	 Chula Vista	 34.599998	 131485	 134269	 265754	 12368	 82710	 3.320000	 CA	 183753	 48506	 1652	 156522	 15641	
Illinois	 Cicero	 28.500000	 43153	 40714	 83867	 629	 33801	 3.890000	 IL	 30824	 1193	 964	 76425	 2865	
Ohio	 Cincinnati	 32.700001	 143654	 154883	 298537	 13699	 16896	 2.080000	 OH	 162245	 7633	 3362	 9121	 133430	
California	 Citrus Heights	 37.799999	 41982	 45071	 87053	 6171	 9466	 2.490000	 CA	 77525	 3615	 1514	 14661	 5979	
Tennessee	 Clarksville	 29.700001	 75029	 74161	 149190	 20803	 8211	 2.640000	 TN	 104626	 6348	 2338	 16004	 39445	
Florida	 Clearwater	 47.000000	 55225	 57754	 112979	 10631	 17686	 2.400000	 FL	 97195	 2434	 867	 17211	 12369	
Ohio	 Cleveland	 36.000000	 186436	 201623	 388059	 19849	 18830	 2.240000	 OH	 166958	 10102	 6140	 40603	 205395	
New Jersey	 Clifton	 38.500000	 41932	 44409	 86341	 2603	 27979	 3.110000	 NJ	 51516	 5840	 2417	 33176	 8743	
California	 Clovis	 37.799999	 52392	 51780	 104172	 6173	 13409	 2.760000	 CA	 78029	 14249	 1876	 23744	 3434	
Texas	 College Station	 22.900000	 54125	 53774	 107899	 2471	 16145	 2.520000	 TX	 84892	 10915	 605	 17784	 11316	
Colorado	 Colorado Springs	 34.799999	 225544	 231018	 456562	 49291	 35320	 2.480000	 CO	 374900	 22619	 11146	 78711	 38976	
Maryland	 Columbia	 37.900002	 52202	 51265	 103467	 6526	 23249	 2.680000	 MD	 58343	 17821	 488	 8033	 30075	
Missouri	 Columbia	 26.799999	 56544	 62554	 119098	 4548	 10729	 2.370000	 MO	 96067	 8673	 1713	 4956	 15489	
South Carolina	 Columbia	 28.000000	 67686	 65707	 133393	 5708	 6074	 2.320000	 SC	 73232	 3501	 1420	 7545	 56398	
Georgia	 Columbus	 33.700001	 98785	 101794	 200579	 21747	 10376	 2.620000	 GA	 97436	 7039	 1343	 15180	 95366	
Ohio	 Columbus	 32.500000	 413981	 435086	 849067	 40238	 101129	 2.400000	 OH	 549468	 48974	 11496	 46855	 256764	
California	 Compton	 30.100000	 49264	 49184	 98448	 897	 30660	 4.080000	 CA	 53919	 1732	 298	 67523	 26395	
California	 Concord	 39.599998	 62310	 66358	 128668	 6287	 37428	 2.720000	 CA	 92575	 17453	 1447	 41400	 6150	
North Carolina	 Concord	 35.700001	 42732	 44961	 87693	 4621	 8847	 2.720000	 NC	 60500	 3566	 216	 11301	 19027	
Texas	 Conroe	 31.500000	 34907	 33685	 68592	 4871	 13839	 2.650000	 TX	 57480	 2302	 707	 23863	 6713	
Florida	 Coral Springs	 37.200001	 63316	 66186	 129502	 4724	 38552	 3.170000	 FL	 90896	 6573	 1262	 40817	 27225	
California	 Corona	 37.099998	 79749	 84493	 164242	 7709	 42131	 2.970000	 CA	 119403	 21044	 2268	 68592	 9437	
Texas	 Corpus Christi	 35.000000	 160488	 163594	 324082	 25078	 30834	 2.690000	 TX	 292663	 9051	 2972	 200737	 14978	
California	 Costa Mesa	 34.799999	 59097	 54089	 113186	 4095	 26645	 2.590000	 CA	 87320	 9165	 1961	 38239	 2925	
Rhode Island	 Cranston	 39.900002	 38365	 42712	 81077	 4702	 10631	 2.560000	 RI	 64806	 5978	 839	 10418	 8193	
Virginia	 Dale City	 33.400002	 35984	 35415	 71399	 6085	 22306	 3.650000	 VA	 34640	 9251	 548	 23868	 18074	
Texas	 Dallas	 32.599998	 639019	 661063	 1300082	 41026	 326825	 2.590000	 TX	 839169	 47099	 17510	 549966	 322570	
California	 Daly City	 39.700001	 53817	 52757	 106574	 3782	 56640	 3.260000	 CA	 25522	 61918	 893	 24316	 5401	
Connecticut	 Danbury	 37.299999	 43435	 41227	 84662	 3752	 25675	 2.740000	 CT	 55917	 7350	 1086	 25145	 8454	
Iowa	 Davenport	 35.200001	 50123	 52454	 102577	 7090	 4065	 2.390000	 IA	 88145	 3071	 901	 9131	 12761	
Florida	 Davie	 40.799999	 48754	 52140	 100894	 4655	 26532	 2.720000	 FL	 79832	 4581	 464	 35311	 11005	
California	 Davis	 26.299999	 33493	 34163	 67656	 2176	 13997	 2.690000	 CA	 47997	 17816	 779	 9041	 2081	
Ohio	 Dayton	 32.799999	 66631	 73966	 140597	 8465	 7381	 2.260000	 OH	 86016	 1885	 2010	 4945	 57280	
Michigan	 Dearborn	 33.500000	 46482	 48698	 95180	 3163	 23920	 3.040000	 MI	 88742	 4134	 713	 3533	 3699	
Illinois	 Decatur	 40.400002	 34646	 38210	 72856	 5291	 1224	 2.230000	 IL	 56231	 1343	 265	 1709	 17939	
Florida	 Deerfield Beach	 41.400002	 37155	 42614	 79769	 3882	 23642	 2.460000	 FL	 53037	 1428	 698	 12729	 25344	
Florida	 Delray Beach	 47.900002	 32219	 34042	 66261	 4232	 16639	 2.350000	 FL	 40980	 1696	 0	 6397	 21138	
Florida	 Deltona	 39.900002	 44853	 43621	 88474	 5664	 7098	 2.890000	 FL	 75686	 1292	 651	 31357	 12056	
Texas	 Denton	 28.700001	 62478	 68569	 131047	 6352	 18451	 2.660000	 TX	 106278	 7061	 1857	 29350	 15542	
Colorado	 Denver	 34.099998	 341137	 341408	 682545	 29363	 113222	 2.330000	 CO	 546370	 32491	 14008	 207847	 72288	
Iowa	 Des Moines	 34.500000	 103726	 106591	 210317	 11780	 23857	 2.410000	 IA	 168057	 15205	 3964	 25306	 26353	
Michigan	 Detroit	 34.799999	 319265	 357859	 677124	 29511	 39861	 2.600000	 MI	 104260	 10804	 6007	 53980	 545988	
Alabama	 Dothan	 38.900002	 32172	 35364	 67536	 6334	 1699	 2.590000	 AL	 43516	 1175	 656	 1704	 23243	
California	 Downey	 37.299999	 53006	 61205	 114211	 2281	 39977	 3.450000	 CA	 77220	 9776	 535	 84806	 5498	
Minnesota	 Duluth	 34.700001	 41271	 44855	 86126	 5015	 2258	 2.250000	 MN	 81720	 1721	 1894	 1981	 3891	
