CITY	STATE	MEDIAN AGE	MALES	FEMALES	TOTAL POPULATION	VETERANS	FOREIGN BORN	AVE HH SIZE	STATE ABBR	AMERICAN	WHITE	ASIAN	HISPANIC	BLACK
Michigan	 Rochester Hills	 41.200001	 36356	 37076	 73432	 3053	 13708	 2.660000	 MI	 62170	 8092	 348	 3395	 3514	
South Carolina	 Rock Hill	 34.500000	 33324	 38243	 71567	 4755	 2413	 2.290000	 SC	 41652	 1073	 610	 2845	 28204	
Illinois	 Rockford	 36.299999	 71076	 78270	 149346	 8894	 18323	 2.520000	 IL	 107148	 5500	 2301	 28923	 33122	
Maryland	 Rockville	 38.099998	 31205	 35793	 66998	 1990	 25047	 2.600000	 MD	 41692	 17370	 594	 9197	 7533	
California	 Roseville	 38.400002	 62591	 67691	 130282	 8386	 18161	 2.720000	 CA	 103853	 18171	 2635	 23499	 4413	
Georgia	 Roswell	 38.799999	 48637	 45859	 94496	 3325	 16501	 2.700000	 GA	 69857	 7240	 585	 16920	 15458	
Texas	 Round Rock	 34.900002	 56646	 59193	 115839	 6804	 18237	 3.130000	 TX	 92278	 9685	 1551	 37151	 13636	
California	 Sacramento	 33.700001	 237724	 252991	 490715	 19698	 112579	 2.730000	 CA	 268151	 105063	 10145	 150153	 77439	
Missouri	 Saint Charles	 34.900002	 32054	 36747	 68801	 4371	 5274	 2.330000	 MO	 58662	 3392	 681	 4070	 6842	
Minnesota	 Saint Cloud	 30.700001	 34311	 33942	 68253	 5012	 5757	 2.410000	 MN	 59794	 2494	 1169	 2639	 6401	
Utah	 Saint George	 37.299999	 38732	 41475	 80207	 4443	 4824	 2.810000	 UT	 71915	 1649	 2406	 10829	 1376	
Missouri	 Saint Joseph	 35.700001	 37688	 38408	 76096	 5846	 3755	 2.580000	 MO	 68293	 1271	 1018	 5400	 6964	
Missouri	 Saint Louis	 35.000000	 153026	 162659	 315685	 17060	 21802	 2.160000	 MO	 155574	 12209	 2746	 12261	 151030	
Minnesota	 Saint Paul	 31.500000	 149547	 151293	 300840	 10548	 56514	 2.580000	 MN	 191369	 58174	 6858	 27307	 54665	
Florida	 Saint Petersburg	 41.799999	 123524	 133564	 257088	 20247	 28567	 2.420000	 FL	 179121	 10893	 2716	 20483	 67798	
Oregon	 Salem	 35.400002	 80839	 83704	 164543	 9685	 19668	 2.690000	 OR	 148650	 6076	 7678	 39414	 3770	
California	 Salinas	 30.400000	 77765	 79621	 157386	 4020	 58693	 3.720000	 CA	 95283	 11227	 2855	 121196	 3391	
Utah	 Salt Lake City	 32.099998	 98364	 94296	 192660	 6829	 32166	 2.380000	 UT	 150136	 13153	 3488	 40559	 5365	
Texas	 San Angelo	 32.799999	 49669	 50744	 100413	 8412	 7859	 2.500000	 TX	 86655	 1658	 548	 42494	 6079	
Texas	 San Antonio	 33.099998	 721405	 748419	 1469824	 109089	 208046	 2.930000	 TX	 1240092	 53933	 20752	 937607	 119542	
California	 San Bernardino	 28.500000	 108671	 107466	 216137	 7741	 55135	 3.550000	 CA	 123174	 12981	 4520	 136214	 36393	
California	 San Buenaventura	 37.700001	 53932	 55785	 109717	 5980	 18025	 2.680000	 CA	 95139	 6547	 2808	 38463	 1300	
California	 San Clemente	 45.200001	 34076	 31456	 65532	 3970	 8109	 2.640000	 CA	 58849	 4296	 0	 10421	 251	
California	 San Diego	 34.500000	 693826	 701081	 1394907	 92489	 373842	 2.730000	 CA	 949388	 267222	 16496	 425414	 111650	
California	 San Francisco	 38.299999	 439752	 425064	 864816	 26276	 297199	 2.370000	 CA	 442155	 324034	 8997	 132114	 53270	
California	 San Jose	 36.500000	 518317	 508602	 1026919	 27269	 401493	 3.130000	 CA	 442798	 385198	 13776	 331232	 41721	
Puerto Rico	 San Juan	 41.400002	 155408	 186829	 342237	 0	 0	 0.000000	 PR	 0	 2452	 4031	 335559	 0	
California	 San Leandro	 41.799999	 43032	 47679	 90711	 4111	 34293	 2.790000	 CA	 40182	 34019	 1540	 26894	 11100	
California	 San Marcos	 35.400002	 45246	 47688	 92934	 5189	 21558	 3.130000	 CA	 72061	 11519	 821	 35164	 4447	
California	 San Mateo	 39.299999	 50966	 52558	 103524	 2730	 34957	 2.640000	 CA	 62656	 30573	 682	 23151	 2880	
California	 San Ramon	 39.099998	 39221	 36911	 76132	 2855	 29691	 3.090000	 CA	 37057	 38970	 609	 5449	 2734	
Arizona	 San Tan Valley	 31.299999	 40429	 42368	 82797	 4300	 5757	 3.440000	 AZ	 75429	 1378	 3941	 18733	 2027	
Utah	 Sandy	 34.599998	 46923	 46689	 93612	 3451	 6691	 3.220000	 UT	 85130	 5657	 507	 6832	 522	
Georgia	 Sandy Springs	 35.400002	 48570	 56777	 105347	 3015	 19837	 2.400000	 GA	 78835	 7909	 1574	 13670	 15420	
California	 Santa Ana	 30.799999	 167503	 167920	 335423	 4735	 152999	 4.580000	 CA	 163096	 37651	 4838	 262436	 5813	
California	 Santa Barbara	 37.799999	 45068	 46784	 91852	 4518	 19441	 2.510000	 CA	 73659	 4964	 1560	 31102	 2013	
California	 Santa Clara	 35.200001	 63278	 62938	 126216	 4426	 52281	 2.750000	 CA	 55847	 58360	 1354	 22402	 4580	
California	 Santa Clarita	 38.099998	 90192	 92175	 182367	 8537	 40666	 3.020000	 CA	 144949	 23168	 4441	 56944	 9223	
New Mexico	 Santa Fe	 44.099998	 40601	 43511	 84112	 5083	 13824	 2.410000	 NM	 75494	 1878	 2960	 45884	 1284	
California	 Santa Maria	 30.100000	 53320	 51762	 105082	 2876	 39192	 3.830000	 CA	 90403	 5058	 1575	 81551	 1237	
California	 Santa Monica	 40.599998	 46732	 46487	 93219	 2008	 24448	 2.000000	 CA	 70365	 13283	 2197	 14973	 9663	
California	 Santa Rosa	 37.900002	 86840	 88149	 174989	 9101	 33015	 2.700000	 CA	 138506	 13496	 8859	 54578	 7157	
Georgia	 Savannah	 30.299999	 69389	 76295	 145684	 9717	 10355	 2.570000	 GA	 57690	 5366	 2116	 9734	 82307	
Illinois	 Schaumburg	 36.900002	 35971	 39840	 75811	 2019	 24614	 2.720000	 IL	 43688	 21571	 633	 12545	 2071	
New York	 Schenectady	 36.700001	 32398	 32901	 65299	 3388	 10961	 2.820000	 NY	 40278	 5140	 1059	 5957	 15640	
Arizona	 Scottsdale	 46.900002	 115712	 121132	 236844	 16798	 27207	 2.170000	 AZ	 205512	 11555	 7003	 24766	 5279	
Pennsylvania	 Scranton	 38.500000	 37975	 39137	 77112	 5059	 8069	 2.390000	 PA	 66875	 4722	 0	 11301	 6256	
Washington	 Seattle	 35.500000	 345659	 338784	 684443	 29364	 119840	 2.130000	 WA	 511401	 121507	 12804	 43060	 61974	
Kansas	 Shawnee	 40.099998	 32313	 32745	 65058	 3575	 4136	 2.640000	 KS	 55883	 3093	 485	 4864	 7296	
Louisiana	 Shreveport	 35.200001	 93138	 103856	 196994	 14287	 5658	 2.530000	 LA	 79319	 4033	 1647	 5081	 112923	
Maryland	 Silver Spring	 33.799999	 40601	 41862	 82463	 1562	 30908	 2.600000	 MD	 37756	 8841	 1084	 25924	 21330	
California	 Simi Valley	 39.000000	 63243	 63523	 126766	 6063	 23260	 3.130000	 CA	 107898	 14984	 2474	 34032	 2378	
Iowa	 Sioux City	 34.299999	 38827	 43949	 82776	 4093	 7471	 2.570000	 IA	 70513	 3400	 1956	 15602	 3994	
South Dakota	 Sioux Falls	 34.599998	 86596	 84934	 171530	 8658	 12934	 2.380000	 SD	 149298	 4689	 4623	 9388	 10904	
Illinois	 Skokie	 43.400002	 31382	 33437	 64819	 1066	 27424	 2.780000	 IL	 40642	 20272	 0	 6590	 4937	
Massachusetts	 Somerville	 31.000000	 41028	 39306	 80334	 2103	 22292	 2.430000	 MA	 62927	 9498	 374	 8790	 7140	
Indiana	 South Bend	 32.400002	 50483	 53274	 103757	 3708	 8779	 2.720000	 IN	 71391	 1788	 411	 16462	 30005	
California	 South Gate	 32.500000	 47758	 48641	 96399	 724	 40571	 3.970000	 CA	 55444	 971	 618	 91312	 1615	
Utah	 South Jordan	 33.799999	 33669	 32970	 66639	 2595	 6142	 3.610000	 UT	 59046	 2487	 0	 4672	 0	
California	 South San Francisco	 39.400002	 34177	 33094	 67271	 1839	 27528	 3.330000	 CA	 28135	 23008	 535	 29173	 2327	
Michigan	 Southfield	 41.599998	 31369	 41808	 73177	 4035	 4011	 2.270000	 MI	 18296	 1345	 983	 573	 54200	
Nevada	 Sparks	 36.099998	 47780	 48318	 96098	 7315	 15690	 2.630000	 NV	 78737	 7915	 2019	 29159	 4226	
Washington	 Spokane	 36.599998	 102756	 110511	 213267	 18044	 13253	 2.340000	 WA	 193143	 9059	 7192	 13365	 10045	
Washington	 Spokane Valley	 36.000000	 49933	 44975	 94908	 7984	 4199	 2.390000	 WA	 91125	 1336	 2473	 5110	 1192	
Florida	 Spring Hill	 45.099998	 48295	 54902	 103197	 9737	 7893	 2.580000	 FL	 91742	 2409	 1254	 15838	 7689	
Nevada	 Spring Valley	 37.000000	 96808	 97147	 193955	 10644	 61072	 2.790000	 NV	 111763	 45059	 2215	 40374	 29031	
Arkansas	 Springdale	 31.799999	 36840	 43614	 80454	 3397	 19969	 3.040000	 AR	 56843	 1422	 547	 30200	 1859	
Illinois	 Springfield	 38.799999	 55639	 62170	 117809	 7525	 4264	 2.220000	 IL	 90935	 3871	 1602	 2738	 25327	
Massachusetts	 Springfield	 31.799999	 74744	 79592	 154336	 5723	 16226	 2.810000	 MA	 97171	 5606	 2087	 69209	 35284	
Missouri	 Springfield	 34.099998	 81057	 85741	 166798	 12291	 7765	 2.120000	 MO	 151686	 5725	 2777	 7100	 10026	
Connecticut	 Stamford	 35.400002	 64941	 63936	 128877	 2269	 44003	 2.700000	 CT	 85620	 11013	 1416	 33197	 24329	
Michigan	 Sterling Heights	 39.599998	 64985	 67077	 132062	 6970	 34313	 2.660000	 MI	 112743	 12264	 0	 2811	 8054	
California	 Stockton	 32.500000	 150976	 154674	 305650	 12822	 79583	 3.160000	 CA	 170878	 76859	 19834	 128216	 41161	
Virginia	 Suffolk	 38.200001	 43048	 45113	 88161	 10114	 2829	 2.720000	 VA	 46458	 2248	 504	 3539	 39107	
Texas	 Sugar Land	 42.099998	 43889	 44240	 88129	 4377	 31169	 2.950000	 TX	 44555	 33469	 0	 7835	 8993	
California	 Sunnyvale	 35.700001	 79480	 72280	 151760	 3900	 71441	 2.740000	 CA	 71463	 69472	 1179	 25638	 4210	
Florida	 Sunrise	 37.700001	 41471	 51235	 92706	 4108	 38209	 2.980000	 FL	 54976	 3501	 0	 29163	 33951	
Nevada	 Sunrise Manor	 32.500000	 93505	 99103	 192608	 10663	 56530	 3.250000	 NV	 109960	 16165	 3962	 99838	 29483	
Arizona	 Surprise	 39.400002	 62875	 65567	 128442	 11109	 9929	 2.900000	 AZ	 115419	 3153	 1883	 25366	 9079	
New York	 Syracuse	 30.299999	 69462	 74690	 144152	 5845	 17733	 2.390000	 NY	 88679	 9386	 3606	 13368	 46026	
Washington	 Tacoma	 37.700001	 100914	 107036	 207950	 19040	 31863	 2.480000	 WA	 149859	 26909	 5549	 25764	 30914	
Florida	 Tallahassee	 26.200001	 89390	 100504	 189894	 9575	 16720	 2.380000	 FL	 112800	 10035	 1368	 13538	 69135	
Florida	 Tampa	 35.299999	 175517	 193511	 369028	 20636	 58795	 2.470000	 FL	 257552	 15814	 2915	 95154	 92156	
California	 Temecula	 34.200001	 54407	 57619	 112026	 7587	 18884	 3.340000	 CA	 85130	 14532	 2236	 36246	 5698	
Arizona	 Tempe	 28.799999	 91350	 84476	 175826	 7058	 26620	 2.440000	 AZ	 130346	 17338	 4636	 44404	 11293	
Texas	 Temple	 33.599998	 33512	 38785	 72297	 7333	 3968	 2.590000	 TX	 54698	 1781	 1615	 21372	 14747	
Florida	 The Villages	 70.500000	 0	 0	 72590	 15231	 4034	 0.000000	 FL	 72211	 0	 0	 1066	 331	
Texas	 The Woodlands	 38.799999	 56083	 63061	 119144	 8351	 21188	 2.930000	 TX	 106202	 8828	 2427	 19574	 6420	
Colorado	 Thornton	 33.099998	 65482	 67977	 133459	 7261	 17949	 2.970000	 CO	 119264	 7034	 2967	 49241	 4569	
California	 Thousand Oaks	 44.799999	 65113	 64216	 129329	 6323	 25330	 2.790000	 CA	 108375	 16134	 2690	 26754	 3229	
Ohio	 Toledo	 36.099998	 135455	 144323	 279778	 15286	 9257	 2.290000	 OH	 188325	 6850	 3942	 23614	 85552	
New Jersey	 Toms River	 43.700001	 43864	 43886	 87750	 5042	 6852	 2.710000	 NJ	 79538	 4691	 251	 10267	 3703	
Kansas	 Topeka	 37.099998	 60879	 66378	 127257	 9608	 6711	 2.320000	 KS	 108035	 3127	 4804	 18640	 15030	
California	 Torrance	 41.200001	 73209	 75259	 148468	 8459	 43096	 2.700000	 CA	 80498	 54317	 3638	 25699	 5906	
Florida	 Town n Country	 38.099998	 39410	 39586	 78996	 4534	 22135	 2.610000	 FL	 64441	 3347	 1622	 37944	 9575	
California	 Tracy	 35.500000	 43156	 43937	 87093	 3025	 25410	 3.420000	 CA	 58041	 16856	 2120	 32810	 5241	
New Jersey	 Trenton	 33.299999	 42581	 41650	 84231	 2604	 20428	 3.040000	 NJ	 37683	 1437	 98	 30613	 43471	
Michigan	 Troy	 43.299999	 42371	 40905	 83276	 2975	 21004	 2.590000	 MI	 56175	 22721	 1677	 2400	 5294	
Arizona	 Tucson	 33.599998	 264893	 266781	 531674	 38182	 82220	 2.450000	 AZ	 404342	 24689	 24409	 231025	 33900	
Oklahoma	 Tulsa	 35.000000	 197437	 205654	 403091	 24672	 43751	 2.370000	 OK	 279127	 16318	 42129	 61217	 72643	
California	 Turlock	 36.200001	 33190	 39103	 72293	 3397	 14686	 2.760000	 CA	 59308	 5232	 1187	 23559	 2307	
Alabama	 Tuscaloosa	 29.100000	 47293	 51045	 98338	 3647	 4706	 2.670000	 AL	 52603	 2733	 261	 2475	 42331	
California	 Tustin	 33.400002	 39511	 41052	 80563	 2434	 25034	 3.270000	 CA	 39660	 16074	 538	 33998	 2954	
Texas	 Tyler	 33.900002	 50422	 53283	 103705	 4813	 8225	 2.590000	 TX	 72728	 2543	 1057	 21536	 26156	
California	 Union City	 38.500000	 38599	 35911	 74510	 1440	 32752	 3.460000	 CA	 16845	 44849	 243	 13207	 5508	
New Jersey	 Union City	 35.400002	 35376	 33773	 69149	 705	 40553	 2.850000	 NJ	 50031	 4044	 545	 53174	 4686	
California	 Upland	 39.700001	 36226	 40221	 76447	 2898	 16552	 2.770000	 CA	 46704	 9182	 1068	 30787	 5717	
Hawaii	 Urban Honolulu	 41.400002	 176807	 175959	 352766	 23213	 101312	 2.690000	 HI	 110508	 240978	 5592	 24586	 11781	
California	 Vacaville	 35.799999	 50091	 46703	 96794	 9064	 10577	 2.900000	 CA	 66825	 9273	 3140	 23395	 18023	
California	 Vallejo	 37.799999	 58379	 62890	 121269	 8103	 30592	 2.830000	 CA	 56169	 34753	 1671	 28977	 26778	
Washington	 Vancouver	 37.200001	 82958	 89895	 172853	 12391	 21748	 2.490000	 WA	 149863	 10882	 4541	 23184	 7520	
Texas	 Victoria	 35.799999	 32290	 35291	 67581	 5000	 4480	 2.700000	 TX	 58798	 2032	 0	 34409	 6058	
California	 Victorville	 30.600000	 60989	 61247	 122236	 7484	 21959	 3.470000	 CA	 86648	 7755	 5305	 60569	 26747	
Virginia	 Virginia Beach	 35.400002	 222684	 230061	 452745	 54995	 38360	 2.610000	 VA	 324924	 38715	 4590	 36309	 99948	
California	 Visalia	 32.599998	 63695	 66399	 130094	 5547	 20779	 3.110000	 CA	 107322	 11523	 2113	 63482	 2525	
California	 Vista	 29.299999	 50680	 50204	 100884	 4957	 23271	 3.520000	 CA	 83529	 7189	 0	 49524	 5164	
Texas	 Waco	 29.299999	 63452	 68890	 132342	 10716	 14235	 2.570000	 TX	 96958	 4230	 794	 40585	 29883	
Maryland	 Waldorf	 33.599998	 35640	 39872	 75512	 6932	 5954	 2.690000	 MD	 26788	 4100	 1918	 4810	 47334	
California	 Walnut Creek	 47.599998	 31994	 36912	 68906	 4977	 13624	 2.220000	 CA	 57064	 10831	 0	 5212	 1705	
Georgia	 Warner Robins	 31.400000	 35093	 38909	 74002	 6974	 3210	 2.500000	 GA	 42306	 2723	 1309	 5378	 29307	
Michigan	 Warren	 43.200001	 64063	 71293	 135356	 7806	 18822	 2.450000	 MI	 96357	 12156	 1516	 3210	 29391	
Rhode Island	 Warwick	 42.599998	 39289	 42409	 81698	 5799	 5318	 2.400000	 RI	 76999	 2685	 0	 4723	 1212	
District of Columbia	 Washington	 33.799999	 319705	 352523	 672228	 25963	 95117	 2.240000	 DC	 285402	 35072	 6130	 71129	 328786	
Connecticut	 Waterbury	 36.200001	 52235	 56572	 108807	 3493	 19967	 2.710000	 CT	 69075	 4080	 492	 38222	 26972	
Iowa	 Waterloo	 37.200001	 34488	 33969	 68457	 4800	 5082	 2.420000	 IA	 51252	 1636	 467	 4961	 11815	
Illinois	 Waukegan	 32.299999	 45514	 42833	 88347	 3404	 30997	 2.920000	 IL	 65629	 4933	 677	 54214	 11697	
Wisconsin	 Waukesha	 35.799999	 36263	 35713	 71976	 3116	 4982	 2.350000	 WI	 66757	 2904	 481	 9713	 1923	
California	 West Covina	 39.799999	 51629	 56860	 108489	 3800	 37038	 3.560000	 CA	 48046	 32716	 518	 58907	 3693	
Utah	 West Jordan	 30.799999	 57898	 54044	 111942	 3577	 11492	 3.460000	 UT	 100150	 3539	 1211	 21315	 3179	
Florida	 West Palm Beach	 39.599998	 49262	 57520	 106782	 4917	 30675	 2.530000	 FL	 60648	 3191	 406	 26132	 39226	
Utah	 West Valley City	 30.700001	 68235	 67989	 136224	 4880	 30712	 3.810000	 UT	 89145	 9550	 4851	 44080	 3222	
Michigan	 Westland	 39.900002	 37742	 44253	 81995	 4756	 6429	 2.410000	 MI	 60576	 4843	 429	 2827	 16422	
California	 Westminster	 42.900002	 45538	 46573	 92111	 3435	 42227	 3.270000	 CA	 37593	 46560	 1022	 19111	 2270	
Colorado	 Westminster	 37.799999	 54866	 58251	 113117	 6512	 11361	 2.630000	 CO	 100084	 8668	 1444	 23355	 3228	
Florida	 Weston	 38.599998	 32956	 36991	 69947	 1507	 30876	 3.340000	 FL	 61021	 4130	 128	 36687	 3697	
California	 Whittier	 36.099998	 44397	 43039	 87436	 2790	 17145	 3.110000	 CA	 49388	 3503	 680	 61249	 1262	
Kansas	 Wichita	 34.599998	 192354	 197601	 389955	 23978	 40270	 2.560000	 KS	 305910	 25210	 8791	 65162	 52592	
Texas	 Wichita Falls	 34.000000	 55775	 48934	 104709	 7800	 9855	 2.410000	 TX	 82860	 3688	 1503	 23061	 14529	
Delaware	 Wilmington	 36.400002	 32680	 39277	 71957	 3063	 3336	 2.450000	 DE	 23743	 1193	 414	 5516	 44182	
North Carolina	 Wilmington	 35.500000	 52346	 63601	 115947	 5908	 7401	 2.240000	 NC	 89270	 3152	 742	 6811	 23578	
North Carolina	 Winston-Salem	 34.700001	 112520	 128712	 241232	 14521	 24302	 2.470000	 NC	 139301	 6484	 1415	 38321	 87480	
Minnesota	 Woodbury	 37.700001	 31982	 35868	 67850	 2732	 9477	 2.720000	 MN	 56216	 7758	 0	 3258	 6054	
Massachusetts	 Worcester	 34.900002	 90951	 93855	 184806	 9408	 36907	 2.430000	 MA	 131898	 15932	 1917	 39000	 27491	
Michigan	 Wyoming	 32.799999	 35967	 39310	 75277	 3447	 8612	 2.650000	 MI	 58989	 3227	 2444	 15325	 8839	
Washington	 Yakima	 34.000000	 45147	 48553	 93700	 4705	 15717	 2.740000	 WA	 79286	 2248	 2042	 44172	 924	
New York	 Yonkers	 38.000000	 96580	 104538	 201118	 4801	 61247	 2.800000	 NY	 129492	 13981	 1112	 73608	 38731	
California	 Yorba Linda	 45.500000	 31960	 36006	 67966	 3171	 15532	 3.000000	 CA	 49980	 17616	 211	 10599	 1326	
Ohio	 Youngs	 37.500000	 30758	 33851	 64609	 3620	 1058	 2.220000	 OH	 33031	 247	 875	 7564	 31725	
California	 Yuba City	 34.500000	 33654	 33290	 66944	 4706	 18032	 2.900000	 CA	 48746	 15065	 2163	 20890	 1912	
Arizona	 Yuma	 33.400002	 48298	 45847	 94145	 7182	 19326	 2.640000	 AZ	 69691	 1180	 1228	 57054	 3731	
